שנה א,Year_1,וילך,Vayelekh,Dvarim,הלכות יום הכיפורים,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%95%D7%99%D7%9C%D7%9A
שנה א,Year_1,האזינו,Haazinu,Dvarim,הלכות סוכה וארבעת המינים,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%94%D7%90%D7%96%D7%99%D7%A0%D7%95
שנה א,Year_1,וזאת הברכה,Vzothabraha,Dvarim,הלכות הושענא רבה ושמחת תורה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%95%D7%96%D7%90%D7%AA_%D7%94%D7%91%D7%A8%D7%9B%D7%94
שנה ב,Year_2,בראשית,Breshit,Breshit,הלכות קידוש וסידור השולחן,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%91%D7%A8%D7%90%D7%A9%D7%99%D7%AA
שנה ב,Year_2,נח,Noah,Breshit,הלכות נר שבת,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%A0%D7%97
שנה ב,Year_2,לך לך,Lekhlkha,Breshit,הלכות הכנה לשבת,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%9C%D7%9A_%D7%9C%D7%9A
שנה ב,Year_2,וירא,Vayera,Breshit,הלכות קבלת שבת וסעודה ועונה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%99%D7%A8%D7%90
שנה ב,Year_2,חיי שרה,HayeSara,Breshit,הלכות תפילת מנחה וסעודה שלישית,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%97%D7%99%D7%99_%D7%A9%D7%A8%D7%94
שנה ב,Year_2,תולדות,Toldot,Breshit,הלכות תפילת שחרית והוצאת ספר תורה ומוסף,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%AA%D7%95%D7%9C%D7%93%D7%95%D7%AA
שנה ב,Year_2,ויצא,Vayetse,Breshit,הלכות מוצאי שבת,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A9%D7%A0%D7%99%D7%99%D7%94_%D7%95%D7%99%D7%A6%D7%90
